1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:pos
1979058	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1979061	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1979092	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1979095	ⲉ	conj	ϩⲉ	'NULL'	ϩⲉ	N
1979439	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1979442	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1979657	ⲑ]	det	ⲡ	'NULL'	ⲧ	ART	1979662	ⲉ̣	nsubj	ϩⲉ	'NULL'	ϩⲉ	N
1980464	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1980467	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1981201	ⲉ̣ [ⲧ]	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1981208	ϩⲧⲙⲧⲱⲙ	acl	ϩⲧⲟⲙⲧⲙ	'NULL'	ϩⲧⲙⲧⲱⲙ	VSTAT
1981962	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1981965	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1982990	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1982995	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1983435	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1983439	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1983689	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1983694	ϩⲙ	case	ϩⲛ	'NULL'	ϩⲙ	PREP
